==========
Args:Namespace(arch='mub', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.1, gpu_devices='0,1', height=256, lr=0.0003, max_epoch=60, optim='adam', print_freq=10, resume='', root='data', save_dir='log/resnet50-xent-mub-market1501', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0,1
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: mub
Model size: 31.40421M
==> Start training
Epoch: [1][10/404]	Time 0.410 (2.653)	Data 0.254 (0.343)	Loss 53.1002 (53.2369)	
Epoch: [1][20/404]	Time 0.586 (1.538)	Data 0.417 (0.305)	Loss 53.3117 (53.3441)	
Epoch: [1][30/404]	Time 0.280 (1.190)	Data 0.131 (0.316)	Loss 53.1035 (53.2876)	
Epoch: [1][40/404]	Time 0.400 (1.001)	Data 0.243 (0.305)	Loss 52.7018 (53.2267)	
Epoch: [1][50/404]	Time 0.307 (0.879)	Data 0.147 (0.291)	Loss 52.6665 (53.1601)	
Epoch: [1][60/404]	Time 0.531 (0.811)	Data 0.378 (0.296)	Loss 52.9136 (53.1258)	
Epoch: [1][70/404]	Time 0.493 (0.761)	Data 0.341 (0.297)	Loss 53.1350 (53.0916)	
Epoch: [1][80/404]	Time 0.606 (0.725)	Data 0.454 (0.299)	Loss 52.3973 (53.0435)	
Epoch: [1][90/404]	Time 0.401 (0.690)	Data 0.242 (0.294)	Loss 52.4489 (53.0070)	
Epoch: [1][100/404]	Time 0.569 (0.664)	Data 0.416 (0.293)	Loss 52.3902 (52.9557)	
Epoch: [1][110/404]	Time 0.525 (0.647)	Data 0.344 (0.295)	Loss 52.3217 (52.9002)	
Epoch: [1][120/404]	Time 0.521 (0.632)	Data 0.368 (0.296)	Loss 52.0141 (52.8422)	
Epoch: [1][130/404]	Time 0.395 (0.615)	Data 0.246 (0.293)	Loss 51.8794 (52.7715)	
Epoch: [1][140/404]	Time 0.404 (0.606)	Data 0.250 (0.296)	Loss 50.7824 (52.7017)	
Epoch: [1][150/404]	Time 0.582 (0.598)	Data 0.419 (0.298)	Loss 51.7723 (52.6406)	
